Site,Study.x,Age,Method,Trees_logged,Vol,MU,VU,SSU,ML,VL,SSL,VarT,ID,Allometry,Region,N_Logged,Plot_size,Vol2,Trees2,Region.x
Alongi et al 2008a,Alongi et al 2008,1,Conventional,NA,-9999,221.5,21.4,3,118.6,21.8,3,SE,3,Allometric - no height,Asia & Oceania,1,0.049,NA,NA,Asia/Africa
Alongi et al 2008b,Alongi et al 2008,1,Conventional,NA,-9999,194.8,55.7,3,42.9,18.8,3,SE,2,Allometric - no height,Asia & Oceania,1,0.049,NA,NA,Asia/Africa
Alongi et al 2008c,Alongi et al 2008,1,Conventional,NA,-9999,51.1,21.6,3,18.7,4.3,3,SE,1,Allometric - no height,Asia & Oceania,1,0.049,NA,NA,Asia/Africa
Berry et al 2010a,Berry et al 2010,0,Conventional,NA,97.2,276,29,10,128.4,39.9,10,SE,4,Allometric - no height,Asia & Oceania,1,0.1,97.2,20.15304045,Asia/Africa
Berry et al 2010b,Berry et al 2010,18,Conventional,NA,97.2,276,29,10,177,14.4,10,SE,5,Allometric - no height,Asia & Oceania,1,0.1,97.2,20.15304045,Asia/Africa
Bryan et al 2010a,Bryan et al 2010,1,RIL,NA,10.7,192.96,4.44,3,157.03,4.89,3,SE,7,Allometric - height,Asia & Oceania,1,NA,10.7,1.82692606,Asia/Africa
Bryan et al 2010b,Bryan et al 2010,1,RIL,NA,10.7,252.41,7,3,171.97,4.51,3,SE,6,Allometric - height,Asia & Oceania,1,NA,10.7,1.82692606,Asia/Africa
Chambers et al 2005a,Chambers et al 2005,4,Conventional,NA,-9999,346.8,28.21329474,3,279.9333333,29.85034897,3,SD,8,Allometric - height,Americas,1,1,NA,NA,Americas
Chambers et al 2005b,Chambers et al 2005,4,Conventional,NA,-9999,330.8333333,30.91865672,3,261.4,28.72925338,3,SD,10,Allometric - height,Americas,1,1,NA,NA,Americas
Chambers et al 2005c,Chambers et al 2005,4,Conventional,NA,-9999,343.3,32.22002483,3,249.7333333,15.29749435,3,SD,9,Allometric - height,Americas,1,1,NA,NA,Americas
d'Oliveira et al 2012a,d'Oliveira et al 2012,1,Conventional,NA,6.9,198.9,8.5,10,185.1,9,10,SE,26,Allometric - no height,Americas,1,1,6.9,1.866581565,Americas
Gerwing et al 2002a,Gerwing et al 2002,5,Conventional,5.7,35.3,258,30,3,198,18,3,SD,12,Allometric - no height,Americas,1,0.5,35.3,5.7,Americas
Gerwing et al 2002b,Gerwing et al 2002,5,Conventional,10,69,258,30,3,148,10,3,SD,13,Allometric - no height,Americas,1,0.5,69,10,Americas
Gourlet-Fleury et al 2013,Gourlet-Fleury et al 2013,0,Conventional,5.5,66,386.4253333,68.07363939,12,284.7743333,36.79663974,12,SD,14,Allometric - no height,Africa,1,4,66,5.5,Asia/Africa
Imai et al 2013a,Imai et al 2013,8,RIL,2.36,13.74,499,60,4,341,52,4,SE,30,Allometric - no height,Asia & Oceania,1,NA,13.74,2.36,Asia/Africa
Imai et al 2013b,Imai et al 2013,5,Conventional,NA,-9999,499,60,4,163,84,4,SE,30,Allometric - no height,Asia & Oceania,2,0.2,NA,NA,Asia/Africa
Kronseder et al 2012a,Kronseder et al 2012,0,Conventional,NA,-9999,228.1,98.1,9,159.9,88.2,9,SD,16,Allometric - no height,Asia & Oceania,1,0.06,NA,NA,Asia/Africa
Kronseder et al 2012b,Kronseder et al 2012,0,Conventional,NA,-9999,547.1,193.8,15,230.8,104.2,10,SD,15,Allometric - no height,Asia & Oceania,1,0.06,NA,NA,Asia/Africa
Lasco et al 2006a,Lasco et al 2006,2.5,Conventional,NA,-9999,399,145,2,191,123,2,SD,17,Allometric - height,Asia & Oceania,1,0.1,NA,NA,Asia/Africa
Lasco et al 2006b,Lasco et al 2006,7.5,Conventional,NA,-9999,399,145,2,238,156,2,SD,17,Allometric - height,Asia & Oceania,1,0.1,NA,NA,Asia/Africa
Lasco et al 2006c,Lasco et al 2006,15,Conventional,NA,-9999,399,145,2,204,134,2,SD,17,Allometric - height,Asia & Oceania,1,0.1,NA,NA,Asia/Africa
Lasco et al 2006d,Lasco et al 2006,18.5,Conventional,NA,-9999,399,145,2,235,161,2,SD,17,Allometric - height,Asia & Oceania,1,0.1,NA,NA,Asia/Africa
Lasco et al 2006e,Lasco et al 2006,21,Conventional,NA,-9999,399,145,2,287,149,2,SD,17,Allometric - height,Asia & Oceania,1,0.1,NA,NA,Asia/Africa
Lindner et al 2011,Lindner et al 2011,30,Conventional,NA,-9999,313,48,5,204,38,5,SE,18,Allometric - height,Americas,1,0.05,NA,NA,Americas
Mazzei et al 2010,Mazzei et al 2010,0,RIL,8.4,21,409.8,64.9,17,315.3647059,44.90907399,17,SD,19,Allometric - no height,Americas,1,1,21,8.4,Americas
Medjibe et al 2011,Medjibe et al 2011,0,RIL,0.82,8.11,420.4,92.95,10,386.22,109.0794186,10,SD,20,Allometric - no height,Africa,1,1,8.11,0.82,Asia/Africa
Medjibe et al 2013a,Medjibe et al 2013,NA,RIL,0.39,5.66,380,86.78,12,353.02,NA,12,SE,31,Allometric - no height,Africa,1,1,5.7,0.39,Asia/Africa
Medjibe et al 2013a,Medjibe et al 2013,NA,RIL,0.39,5.66,380,86.78,12,353.02,NA,12,SE,31,Allometric - no height,Africa,1,1,5.66,0.39,Asia/Africa
Medjibe et al 2013b,Medjibe et al 2013,NA,Conventional,0.76,11.38,387.3,81.01,12,335.4018,NA,12,SE,32,Allometric - no height,Africa,1,1,11.4,0.76,Asia/Africa
Medjibe et al 2013b,Medjibe et al 2013,NA,Conventional,0.76,11.38,387.3,81.01,12,335.4018,NA,12,SE,32,Allometric - no height,Africa,1,1,11.38,0.76,Asia/Africa
Pfeifer et al 2013a,Pfeifer et al 2014,10,Conventional,NA,179,565.1041496,328.677753,9,127.1630665,75.41151032,16,SD,21,Allometric - height,Asia & Oceania,2,0.0625,179,NA,Asia/Africa
Pfeifer et al 2013b,Pfeifer et al 2014,10,Conventional,NA,150,565.1041496,328.677753,9,92.93852309,44.10157135,9,SD,21,Allometric - height,Asia & Oceania,2,0.0625,150,NA,Asia/Africa
Pfeifer et al 2013c,Pfeifer et al 2014,10,Conventional,NA,150,565.1041496,328.677753,9,168.5752185,44.28430042,9,SD,21,Allometric - height,Asia & Oceania,2,0.0625,150,NA,Asia/Africa
Pfeifer et al 2013d,Pfeifer et al 2014,10,Conventional,NA,150,565.1041496,328.677753,9,168.5980573,116.5109326,8,SD,21,Allometric - height,Asia & Oceania,2,0.0625,150,NA,Asia/Africa
Pfeifer et al 2013e,Pfeifer et al 2014,10,Conventional,NA,179,565.1041496,328.677753,9,87.22143687,63.51575997,16,SD,21,Allometric - height,Asia & Oceania,2,0.0625,179,NA,Asia/Africa
Pfeifer et al 2013f,Pfeifer et al 2014,10,Conventional,NA,150,565.1041496,328.677753,9,181.832157,47.29814627,9,SD,21,Allometric - height,Asia & Oceania,2,0.0625,150,NA,Asia/Africa
Pfeifer et al 2013g,Pfeifer et al 2014,10,Conventional,NA,179,565.1041496,328.677753,9,51.29253423,49.33324672,16,SD,21,Allometric - height,Asia & Oceania,2,0.0625,179,NA,Asia/Africa
Pfeifer et al 2013h,Pfeifer et al 2014,10,Conventional,NA,179,565.1041496,328.677753,9,67.34782612,69.93300898,16,SD,21,Allometric - height,Asia & Oceania,2,0.0625,179,NA,Asia/Africa
Pfeifer et al 2013i,Pfeifer et al 2014,10,Conventional,NA,179,565.1041496,328.677753,9,58.76602617,46.16436693,16,SD,21,Allometric - height,Asia & Oceania,2,0.0625,179,NA,Asia/Africa
Pfeifer et al 2013j,Pfeifer et al 2014,10,Conventional,NA,179,565.1041496,328.677753,9,68.78087386,65.25066726,16,SD,21,Allometric - height,Asia & Oceania,2,0.0625,179,NA,Asia/Africa
Pinard et al 1996a,Pinard et al 1996,0,Conventional,NA,154.482125,333.47,40.73364703,4,135.8,20.75198304,4,SD,23,Allometric - no height,Asia & Oceania,1,0.16,154.482125,NA,Asia/Africa
Pinard et al 1996b,Pinard et al 1996,0,RIL,NA,103.5835,327.54,54.0371067,4,211.78,18.6400617,4,SD,22,Allometric - no height,Asia & Oceania,1,0.16,103.5835,24.059328,Asia/Africa
Rockwell et al 2014,Rockwell et al 2014,1,Conventional,2,10,113.9,29.4,5,105.3,32.3,5,SD,30,Allometric - no height,Americas,1,0.5,10,2,Americas
Saner et al 2012,Saner et al 2012,0,Conventional,NA,117.38,256,26.8,4,183.8,5.8,4,SE,24,Allometric - no height,Asia & Oceania,1,0.25,117.38,NA,Asia/Africa
Sist et al 2012a,Sist et al 2012,1,Conventional,21,-9999,442.1568,NA,3,236.7577,NA,3,,27,Allometric - no height,Americas,1,6.25,NA,21,Americas
Sist et al 2012b,Sist et al 2012,1,Conventional,10,-9999,406.6035,NA,3,303.1123,NA,3,,29,Allometric - no height,Americas,1,6.25,38.82659242,10,Americas
Sist et al 2014a,Sist et al 2014,8,RIL,6.3,30,378,19,18,282,17,18,SE,33,Allometric - no height,Americas,1,1,30,6.3,Americas
Tangki et al 2008,Tangki et al 2008,11,Conventional,NA,101.2,427.495,109.3250955,10,218.31,185.9464001,45,SD,25,Allometric - no height,Asia & Oceania,1,0.1,101.2,22.5192644,Asia/Africa
