"Study.x","Site_ID.x","ID","Vol2","Method.x","Prop_dam2","Region"
"Abdulhadi et al 1981","Abdulhadi et al 1981-1",1,98.44339558877,"Conventional",0.236,NA
"Abebe and Holm 2003","Abebe and Holm 2003-1",2,46,"Conventional",0.103896104,"Africa"
"Bertault and Sist 1997","Bertault and Sist 1997-1",3,96.8,"RIL",0.368,NA
"Bertault and Sist 1997","Bertault and Sist 1997-2",4,56.5,"RIL",0.305,NA
"Bertault and Sist 1997","Bertault and Sist 1997-3",5,107.2,"Conventional",0.484,NA
"Chapman et al 2000","Chapman et al 2000-1",6,21.3,"Conventional",0.5,NA
"Chapman et al 2000","Chapman et al 2000-2",7,14,"Conventional",0.25,NA
"Feldpausch et al 2005","Feldpausch et al 2005-1",8,6.2,"RIL",0.118304432,"Americas"
"Forshed et al 2006","Forshed et al 2006-1",9,116.639098199439,"Conventional",0.406812339,"Asia"
"Forshed et al 2006","Forshed et al 2006-2",10,83.8868335002353,"RIL",0.325050916,"Asia"
"Forshed et al 2006","Forshed et al 2006-3",11,116.639098199439,"Conventional",0.370677159,"Asia"
"Forshed et al 2006","Forshed et al 2006-4",12,83.8868335002353,"RIL",0.358887953,"Asia"
"Iskander et al 2006","Iskander et al 2006-1",13,7.46488253542768,"Conventional",NA,NA
"Iskander et al 2006","Iskander et al 2006-2",14,34.7584364514304,"Conventional",NA,NA
"Iskander et al 2006","Iskander et al 2006-3",15,25.6605851460962,"Conventional",NA,NA
"Iskander et al 2006","Iskander et al 2006-4",16,34.7584364514304,"Conventional",NA,NA
"Jackson et al 2002","Jackson et al 2002-1",17,12.1,"RIL",0.45,"Americas"
"Johns 1988","Johns 1988-1",18,164.85771011771,"Conventional",0.57,NA
"Johns et al 1996","Johns et al 1996-1",19,30,"Conventional",NA,NA
"Johns et al 1996","Johns et al 1996-3",20,30,"Conventional",NA,NA
"Johns et al 1996","Johns et al 1996-3",21,37,"Conventional",NA,NA
"Jonkers 2000","Jonkers 2000-1",22,11.2341199878903,"Conventional",NA,NA
"Jonkers 2000","Jonkers 2000-2",23,11.1706572861269,"Conventional",0.058849558,"Africa"
"Kao and Iidu 2006","Kao and Iidu 2006-1",24,22.2,"Conventional",0.126,"Asia"
"Medjibe et al 2011","Medjibe et al 2011-1",25,8.11,"RIL",0.511538462,"Africa"
"Medjibe et al 2013","Medjibe et al 2013-1",26,5.7,"RIL",0.011674342,"Africa"
"Medjibe et al 2013","Medjibe et al 2013-2",27,11.4,"Conventional",0.041043928,"Africa"
"Miller et al 2011","Miller et al 2011-1",28,18.240153860648,"RIL",NA,NA
"Nicholson et al 1979","Nicholson et al 1979-1",29,37.9,"Conventional",0.437,NA
"Nicholson et al 1979","Nicholson et al 1979-2",30,164.85771011771,"Conventional",0.536,NA
"Parren et al 2001","Parren et al 2001-1",31,13,"RIL",NA,NA
"Parren et al 2001","Parren et al 2001-2",32,13,"Conventional",NA,NA
"Pinard and Putz 1996","Pinard and Putz 1996-1",33,153.5,"Conventional",0.59,NA
"Pinard and Putz 1996","Pinard and Putz 1996-2",34,103.75,"RIL",0.27,NA
"Sist and Nguyen 2002","Sist and Nguyen 2002-1",35,50.2247836704986,"Conventional",0.301,NA
"Sist and Nguyen 2002","Sist and Nguyen 2002-2",36,73.8791970643676,"Conventional",0.435,NA
"Sist and Nguyen 2002","Sist and Nguyen 2002-3",37,124.827164374239,"Conventional",0.584,NA
"Sist et al 2003","Sist et al 2003-1",38,45,"Conventional",0.313605,"Asia"
"Sist et al 2003","Sist et al 2003-1",39,54,"Conventional",0.388925,"Asia"
"Sist et al 2003","Sist et al 2003-1",40,45,"Conventional",0.507537,"Asia"
"Sist et al 2003","Sist et al 2003-1",41,45,"Conventional",0.53906,"Asia"
"Sist et al 2003","Sist et al 2003-1",42,54,"Conventional",0.575589,"Asia"
"Sist et al 2003","Sist et al 2003-1",43,63,"Conventional",0.527276,"Asia"
"Sist et al 2003","Sist et al 2003-1",44,99,"Conventional",0.591001,"Asia"
"Sist et al 2003","Sist et al 2003-1",45,117,"Conventional",0.588925,"Asia"
"Sist et al 2003","Sist et al 2003-2",46,32.1,"RIL",0.153253,"Asia"
"Sist et al 2003","Sist et al 2003-2",47,42.8,"RIL",0.233425,"Asia"
"Sist et al 2003","Sist et al 2003-2",48,74.9,"RIL",0.350314,"Asia"
"Sist et al 2003","Sist et al 2003-2",49,74.9,"RIL",0.403644,"Asia"
"Sist et al 2003","Sist et al 2003-2",50,96.3,"RIL",0.377319,"Asia"
"Sist et al 2003","Sist et al 2003-2",51,107,"RIL",0.321741,"Asia"
"Sist et al 2003","Sist et al 2003-2",52,107,"RIL",0.510832,"Asia"
"Sist et al 2003","Sist et al 2003-2",53,107,"RIL",0.678105,"Asia"
"Sist et al 2007","Sist et al 2007-1",54,20.4,"RIL",0.182,"Americas"
"Sist et al 2007","Sist et al 2007-1",55,10.2,"RIL",0.232,"Americas"
"Sist et al 2007","Sist et al 2007-1",56,34,"RIL",0.239,"Americas"
"Sist et al 2007","Sist et al 2007-1",57,20.4,"RIL",0.261,"Americas"
"Sist et al 2007","Sist et al 2007-1",58,23.8,"RIL",0.395,"Americas"
"Sist et al 2007","Sist et al 2007-1",59,20.4,"RIL",0.264,"Americas"
"Sist et al 2007","Sist et al 2007-1",60,27.2,"RIL",0.217,"Americas"
"Sist et al 2007","Sist et al 2007-1",61,6.8,"RIL",0.065,"Americas"
"Sist et al 2007","Sist et al 2007-1",62,20.4,"RIL",0.215,"Americas"
"Sist et al 2007","Sist et al 2007-1",63,30.6,"RIL",0.322,"Americas"
"Sist et al 2007","Sist et al 2007-1",64,13.6,"RIL",0.071,"Americas"
"Sist et al 2007","Sist et al 2007-1",65,20.4,"RIL",0.21,"Americas"
"Sist et al 2007","Sist et al 2007-1",66,17,"RIL",0.183,"Americas"
"Sist et al 2007","Sist et al 2007-1",67,30.6,"RIL",0.238,"Americas"
"Sist et al 2007","Sist et al 2007-1",68,20.4,"RIL",0.207,"Americas"
"Sist et al 2007","Sist et al 2007-1",69,23.8,"RIL",0.133,"Americas"
"Sist et al 2007","Sist et al 2007-1",70,37.4,"RIL",0.126,"Americas"
"Sist et al 2007","Sist et al 2007-1",71,6.8,"RIL",0.155,"Americas"
"Uhl et al 1991","Uhl et al 1991-1",72,16,"Conventional",0.117171717,"Americas"
"van de Hout 1999","van de Hout 1999-1",73,16,"RIL",0.134,"Americas"
"van de Hout 1999","van de Hout 1999-2",74,25.86666667,"RIL",0.203921569,"Americas"
"van de Hout 1999","van de Hout 1999-3",75,46.93333333,"RIL",0.324384787,"Americas"
"van de Hout 1999","van de Hout 1999-4",76,50.06666667,"Conventional",0.26252505,"Americas"
"van de Hout 1999","van de Hout 1999-5",77,25.06666667,"Conventional",0.358241758,"Americas"
"Verissimo et al 1992","Verissimo et al 1992-1",78,18,"Conventional",0.27,"Americas"
"Verissimo et al 1992","Verissimo et al 1992-2",79,35,"Conventional",0.35,"Americas"
"Verissimo et al 1992","Verissimo et al 1992-3",80,62,"Conventional",0.43,"Americas"
"Webb et al 1997","Webb et al 1997-1",81,14.62473968,"Conventional",0.046333,NA
"Webb et al 1997","Webb et al 1997-1",82,28.91579365,"Conventional",0.086921,NA
"Webb et al 1997","Webb et al 1997-1",83,29.06991429,"Conventional",0.128211,NA
"Webb et al 1997","Webb et al 1997-1",84,36.30049841,"Conventional",0.143347,NA
"Webb et al 1997","Webb et al 1997-1",85,43.21993333,"Conventional",0.086226,NA
"Webb et al 1997","Webb et al 1997-1",86,57.64911429,"Conventional",0.215122,NA
"Webb et al 1997","Webb et al 1997-1",87,65.3246127,"Conventional",0.408024,NA
"White 2009","White 2009-1",88,12.4399113339608,"Conventional",0.177,"Africa"
"White 2009","White 2009-2",89,12.4399113339608,"Conventional",0.108,NA
"Whitman et al 1997","Whitman et al 1997-1",90,3.12129537677333,"Conventional",0.65,NA
"Whitmore et al 1989","Whitmore et al 1989-1",91,NA,"Conventional",0.386,NA
