Type,Lat,Long
Residual damage,7,35
Residual damage,0,117
Residual damage,2,117
Residual damage,2,117
Residual damage,2,117
Residual damage,-10,-58
Residual damage,4,117
Residual damage,4,117
Residual damage,4,117
Residual damage,4,117
Residual damage,2.5,116
Residual damage,2.5,116
Residual damage,2.5,116
Residual damage,2.5,116
Residual damage,-15,-62
Residual damage,-3,-50
Residual damage,-3,-50
Residual damage,-3,-50
Residual damage,-3,-50
Residual damage,2.5,10
Residual damage,2.5,10
Residual damage,14,105
Residual damage,0,10
Residual damage,0,12
Residual damage,0,12
Residual damage,-3,-55
Residual damage,,
Residual damage,,
Residual damage,3,10
Residual damage,3,10
Residual damage,5,117
Residual damage,5,117
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,3,116
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-4,-48
Residual damage,-3,-49
Residual damage,5,-58
Residual damage,5,-58
Residual damage,5,-58
Residual damage,5,-58
Residual damage,5,-58
Residual damage,-3,-47
Residual damage,-3,-47
Residual damage,-3,-47
Residual damage,11,-84
Residual damage,11,-84
Residual damage,11,-84
Residual damage,11,-84
Residual damage,11,-84
Residual damage,11,-84
Residual damage,11,-84
Residual damage,0,11
Residual damage,0,11
Residual damage,17,-88
Residual damage,17,-88
Species richness,7,5
Species richness,5,-52
Species richness,5,117
Species richness,5,117
Species richness,-1,110
Species richness,-1,110
Species richness,-15,-63
Species richness,-15,-63
Species richness,-15,-63
Species richness,5,117
Species richness,-3,-50
Species richness,-3,-50
Species richness,4,18
Species richness,4,18
Species richness,5,117
Species richness,0,12
Species richness,0,12
Species richness,6,101
Species richness,-21,-41
Species richness,11,-84
Species richness,11,-84
Species richness,8,-11
Species richness,5,-2
Aboveground biomass,4.965088,117.690375
Aboveground biomass,4.965088,117.690375
Aboveground biomass,-7.65,142.55
Aboveground biomass,-7.58,142.54
Aboveground biomass,-9.216667,-68.016667
Aboveground biomass,-3,-50
Aboveground biomass,-3,-50
Aboveground biomass,3.9,17.93
Aboveground biomass,5,117
Aboveground biomass,-3.414725,-47.076416
Aboveground biomass,0.333333,10.333333
Aboveground biomass,0,13
Aboveground biomass,0,13
Aboveground biomass,0,13
Aboveground biomass,0,13
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.633333,116.95
Aboveground biomass,4.416667,117.483333
Aboveground biomass,4.416667,117.483333
Aboveground biomass,-10,-66.83333333
Aboveground biomass,5.088889,117.642222
Aboveground biomass,5.038963,117.815795
