"","AICc","model","delta","sigma","R_squared","rel_lik","weight"
"5",11.8169728531888,"Model4",0,0.00225102175215681,0.958711983133358,49852.23,0.29
"3",12.1100668297402,"Model2",0.293093976551368,0.00612053155660548,0.887737819548027,43056.63,0.25
"7",12.743523757509,"Model6",0.926550904320241,0.00548764720277055,0.899346121356188,31367.98,0.182
"9",13.4932331499668,"Model8",1.67626029677803,0.00515246910941504,0.905493924574229,21562.01,0.125
"10",14.6345832036914,"Model9",2.81761035050257,0.00215296172193487,0.960510590444845,12185.64,0.071
"6",15.0712196116465,"Model5",3.25424675845766,0.00187698722585522,0.965572487175955,9795.66,0.057
"11",18.0719433559617,"Model10",6.25497050277285,0.00171204962237196,0.96859775627788,2184.92,0.013
"8",18.329536978213,"Model7",6.51256412502421,0.00217414287182164,0.960122087902414,1920.88,0.011
"2",31.2641650246674,"Model1",19.4471921714786,0.0402637880287967,0.261485608633042,2.98,0
"1",33.4506097269577,"Null",21.6336368737689,0.0545199775379734,0,1,0
"4",34.7004012054221,"Model3",22.8834283522333,0.0428035358502866,0.21490180694822,0.54,0
