"estimate","ci.lb","ci.ub","No_studies"
-0.541016082654121,-0.849497360433506,-0.232534804874737,2
-0.681282590695848,-0.931232953832985,-0.431332227558712,3
-0.608512770297379,-0.828694645566901,-0.388330895027857,4
-0.672496351964381,-0.917186420595258,-0.427806283333505,5
-0.675151160024364,-0.915155470138047,-0.435146849910682,6
-0.675662697633222,-0.914803570599751,-0.436521824666692,7
-0.77903289811574,-1.1928066755243,-0.365259120707176,8
-0.674288344483652,-0.918123780954099,-0.430452908013206,9
-0.797000066237665,-1.24243786721911,-0.351562265256223,10
-0.814192186149535,-1.29360993909125,-0.334774433207823,11
-0.835851855273697,-1.35843432879856,-0.313269381748835,12
-0.846548374298873,-1.39054918521676,-0.302547563380987,13
-0.851315871457618,-1.40469717661225,-0.297934566302987,14
-0.868142336359355,-1.4237998133475,-0.312484859371215,15
-0.855577185887779,-1.33709679673263,-0.374057575042927,16
-0.824240117361028,-1.26114889215183,-0.387331342570222,17
-0.814153310345852,-1.21440010280777,-0.413906517883931,18
-0.795200937575658,-1.16958666157562,-0.420815213575696,19
-0.756746966375874,-1.11053812902145,-0.4029558037303,20
-0.750907914866508,-1.06229189025993,-0.439523939473089,21
-0.733162074467986,-1.04769503720789,-0.418629111728078,22
-0.748814608745451,-1.05380064100138,-0.443828576489524,23
-0.732220409323809,-1.03777853204722,-0.426662286600394,24
-0.672796709791365,-0.962411539129614,-0.383181880453116,25
-0.684668230005184,-0.962469510759845,-0.406866949250523,26
-0.632446784150444,-0.897539356523953,-0.367354211776935,27
-0.632917252772757,-0.89834138103434,-0.367493124511174,28
-0.632256759529147,-0.900964057219368,-0.363549461838925,29
-0.619314975608049,-0.88606890422861,-0.352561046987489,30
-0.605379130645712,-0.870054546489508,-0.340703714801915,31
-0.562028528325632,-0.821509809358571,-0.302547247292693,32
-0.561193608831969,-0.824084898855905,-0.298302318808033,33
-0.561193608831969,-0.824084898855905,-0.298302318808033,34
-0.561193608831969,-0.824084898855905,-0.298302318808033,35
